0	-58.8947368421053,      2.1994459833795
1	-50.4444444444444,      13.1358024691358
2	-51.2456140350877,      16.2905509387504
3	-47,      36.4285714285714
5	-49.6627906976744,      142.316522444565
7	-53,      7
8	-54.7857142857143,      1.88265306122449
9	-50.5909090909091,      12.2417355371901
