0	-55.0491803278689,      14.899220639613
1	-56.3684210526316,      4.54847645429363
2	-50.84,      13.9744
3	-50.2727272727273,      2.74380165289256
4	-52.8421052631579,      2.34349030470914
5	-52.2173913043478,      7.73534971644612
6	-54.2857142857143,      7.20408163265306
7	-53.6666666666667,      3.22222222222222
8	-52.6111111111111,      11.570987654321
9	-51.5238095238095,      11.9637188208617
