0	-53.0588235294118,      2.17301038062284
1	-54.2857142857143,      1.3469387755102
2	-54,      1.07692307692308
3	-52.8888888888889,      18.7654320987654
4	-54.9473684210526,      15.4182825484765
5	-53.8571428571429,      0.979591836734694
6	-49.5,      3.5
7	-45.9333333333333,      9.26222222222222
8	-53.7272727272727,      12.5619834710744
9	-53.375,      10.859375
