0	-53.6363636363636,      7.68595041322314
1	-53.2105263157895,      8.27146814404432
2	-47.6666666666667,      9.33333333333334
3	-52.375,      11.734375
4	-53.1428571428571,      1.83673469387755
5	-53.4,      2.14
6	-58.3076923076923,      6.5207100591716
7	-53.6666666666667,      1.88888888888889
8	-48.6086956521739,      30.9338374291115
9	-49.2666666666667,      16.0622222222222
